,CANT,DESCR,PRECIO_UNITARIO,COSTO_TOTAL_CALCULADO
171,1,REPARACION DE PLANCHA 4500W 240V ESP,2259.43,143.11
172,2,"TUB INOX 1/4""ØX50CM 400W127V RECTA T/TOR",447.42,85.71
173,1,"TUB INOX 5/16""Øx335mm. U 7600W 230V PLAQ",2174.6,337.19
174,1,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",919.0,226.23
175,2,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT,145.0,102.71
176,8,"PT-100 2MMX1"" DESNUDO EXT.113CM SOGUILLA",375.0,789.1
177,2,"PT-100 5/16""ØX40CM CON1/2""NPT EXT10M PLI",2625.5,2428.6
178,8,"TUBULAR U"" 5/16"" 203MM 1500W 127V""",594.83,2606.27
179,2,"TUB INOX 1/4""Øx355MM 4500W230V ESP/PLAC",2278.45,863.66
180,1,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",408.87,124.0
181,1,"TUB INOX 1/4""Øx1500mm 3000W 230V BUSHING",1136.53,175.18
182,1,REPARACION DE HORNO 780W 120V MAR-VULCAN,862.07,12.4
183,3,BOB DSD CAL.6 86MMØX713MM U 48KW440V GA,2525.0,5346.0
184,2,"AEROPACK J 1/16""ØX2"" T-1/8""ØX11/2"" EXT1M",337.7,73.06
185,11,"TEA K 1/2""ØX53CM CO/1/2""NPT INOX C/MARIN",1499.3,7400.14
186,6,"TEA K 1/2""ØX130CM CO/1/2""NPT INOX C/MARI",2349.48,7142.54
187,4,"TER K 1/4""ØX2"" EXT.1MT RESORT C/MINI MAC",510.0,280.17
188,2,"TER T 3/16""ØX51CMX6CM EXT2MT CON-1/8 90°",813.05,379.5
189,2,"TER T 3/16""ØX127MMX6CM EXT5MT CON-1/8 90",1048.0,693.49
190,2,"TUB INOX 5/16""ØX203MM 1500W 240V U TAP1""",525.0,225.21
191,3,"TEA K 1/2""Øx1800mm CON1/2-1/2 C/MARINA",8500.0,4592.74
192,2,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,119.83,77.92
193,1,"TUB INOX 5/16""ØX800MM 2000W127V ""J"" TBOY",813.0,227.18
194,1,"TEA K 1/2""ØX18""X24"" ESCUADRA BLOCK/CMARI",2068.5,773.91
195,6,"TUB ALETADA 5/16""ØX32CM 750W 220 V",1518.0,1825.52
196,5,"TERMOPAR CERAMICO T/K"" LONG 18"" CAL 8""",597.06,865.0
197,1,REPARACION SELLADORA PCS300,683.25,29.9
198,1,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8""",813.1,222.0
199,18,"TUB INOX 7/16""ØX80CM 960W 240V RECTA T/T",690.81,949.4
200,2,"TUB INOX 3/8""ØX33.5CM 6000W480V ""U"" PLAC",1520.0,757.39
